             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 12.05  8.55        8.53        8.55            |
 | 2  |        4.01        3.45        3.44            |
 | 3  |              3.62                              |
 | 4  |                    3.14        2.55            |
 | 6  |                          2.72              2.78|
 | 8  |                                2.56            |
 | 10 |                                      2.54      |
 | 12 |                                            2.53|
 +-----------------------------------------------------+
