             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.00        5.00        5.00            |
 | 2  |        2.50        2.50        2.50            |
 | 3  |              2.67                              |
 | 4  |                    2.75        2.40            |
 | 6  |                          2.86              1.01|
 | 8  |                                2.90            |
 | 10 |                                      1.62      |
 | 12 |                                            1.52|
 +-----------------------------------------------------+
