             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  4.00  4.00        4.00        4.00            |
 | 2  |        2.00        2.00        2.00            |
 | 3  |              1.33                              |
 | 4  |                    1.00        1.01            |
 | 6  |                          1.01              1.08|
 | 8  |                                1.02            |
 | 10 |                                      1.02      |
 | 12 |                                            1.01|
 +-----------------------------------------------------+
