             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.96  6.86        6.55        6.53            |
 | 2  |        7.48        6.10        5.55            |
 | 3  |              6.01                              |
 | 4  |                    5.31        4.99            |
 | 6  |                          4.78              4.89|
 | 8  |                                4.65            |
 | 10 |                                      4.50      |
 | 12 |                                            4.38|
 +-----------------------------------------------------+
