             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  9.02  6.50        5.50        5.51            |
 | 2  |        4.03        3.43        3.10            |
 | 3  |              3.33                              |
 | 4  |                    2.95        2.81            |
 | 6  |                          2.71              2.80|
 | 8  |                                2.63            |
 | 10 |                                      2.58      |
 | 12 |                                            2.53|
 +-----------------------------------------------------+
