             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.00 10.00       10.00       10.00            |
 | 2  |        5.00        5.00        5.00            |
 | 3  |              3.34                              |
 | 4  |                    2.50        2.50            |
 | 6  |                          1.67              1.67|
 | 8  |                                1.25            |
 | 10 |                                      1.08      |
 | 12 |                                            1.14|
 +-----------------------------------------------------+
