             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.00        5.00        5.00            |
 | 2  |        2.50        2.50        2.50            |
 | 3  |              2.67                              |
 | 4  |                    2.75        2.40            |
 | 6  |                          2.86              1.18|
 | 8  |                                2.78            |
 | 10 |                                      1.70      |
 | 12 |                                            1.54|
 +-----------------------------------------------------+
