             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  1.50        1.00        1.03            |
 | 2  |        1.50        1.00        1.00            |
 | 3  |              1.00                              |
 | 4  |                    1.00        0.99            |
 | 6  |                          1.02              1.01|
 | 8  |                                1.04            |
 | 10 |                                      1.01      |
 | 12 |                                            1.08|
 +-----------------------------------------------------+
