             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  9.50  6.49        5.15        4.53            |
 | 2  |        6.77        5.79        5.33            |
 | 3  |              5.61                              |
 | 4  |                    5.12        4.44            |
 | 6  |                          4.72              4.88|
 | 8  |                                4.51            |
 | 10 |                                      4.38      |
 | 12 |                                            4.38|
 +-----------------------------------------------------+
