             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.19  1.50        1.10        1.03            |
 | 2  |        1.50        1.10        1.03            |
 | 3  |              1.33                              |
 | 4  |                    1.10        1.03            |
 | 6  |                          1.00              1.01|
 | 8  |                                1.03            |
 | 10 |                                      1.04      |
 | 12 |                                            1.13|
 +-----------------------------------------------------+
