             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.67  6.50        6.53        6.51            |
 | 2  |        7.02        6.09        5.54            |
 | 3  |              6.00                              |
 | 4  |                    5.30        5.00            |
 | 6  |                          4.76              4.93|
 | 8  |                                4.57            |
 | 10 |                                      4.49      |
 | 12 |                                            4.40|
 +-----------------------------------------------------+
