             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  1.50        3.50        3.25            |
 | 2  |        1.50        1.00        1.75            |
 | 3  |              1.34                              |
 | 4  |                    1.00        1.02            |
 | 6  |                          1.01              1.02|
 | 8  |                                1.02            |
 | 10 |                                      1.04      |
 | 12 |                                            1.12|
 +-----------------------------------------------------+
