             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.00        5.00        5.00            |
 | 2  |        2.50        2.50        2.50            |
 | 3  |              2.67                              |
 | 4  |                    2.75        2.37            |
 | 6  |                          2.85              1.19|
 | 8  |                                2.90            |
 | 10 |                                      1.61      |
 | 12 |                                            1.60|
 +-----------------------------------------------------+
