             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  9.28  6.50  8.00  5.51  6.01  5.51  5.52            |
 | 2  |        7.01        5.89              5.42            |
 | 3  |              5.72                                    |
 | 4  |                    5.01              4.77            |
 | 5  |                          4.85                        |
 | 6  |                                4.81              4.83|
 | 8  |                                      4.57            |
 | 10 |                                            4.44      |
 | 12 |                                                  4.38|
 +-----------------------------------------------------------+
