             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  9.56  6.20  9.57  6.23  6.94  6.26  6.22            |
 | 2  |        7.14        5.79              5.29            |
 | 3  |              5.73                                    |
 | 4  |                    4.95              4.71            |
 | 5  |                          4.62                        |
 | 6  |                                4.49              4.72|
 | 8  |                                      4.33            |
 | 10 |                                            4.24      |
 | 12 |                                                  4.17|
 +-----------------------------------------------------------+
