             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  4.77  4.77  4.77  4.77  4.77  4.77  4.77            |
 | 2  |        2.39        2.39              2.39            |
 | 3  |              2.55                                    |
 | 4  |                    2.63              2.29            |
 | 5  |                          2.68                        |
 | 6  |                                2.72              1.14|
 | 8  |                                      2.77            |
 | 10 |                                            1.57      |
 | 12 |                                                  1.55|
 +-----------------------------------------------------------+
