             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  | 10.40  6.26  6.47  5.24  5.02  4.70  4.53            |
 | 2  |        6.39        5.27              5.11            |
 | 3  |              5.41                                    |
 | 4  |                    4.78              4.38            |
 | 5  |                          4.69                        |
 | 6  |                                4.49              4.64|
 | 8  |                                      4.34            |
 | 10 |                                            4.24      |
 | 12 |                                                  4.13|
 +-----------------------------------------------------------+
