             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  1.50  1.33  1.25        1.14            |
 | 2  |        1.50        1.25        1.15            |
 | 3  |              2.67                              |
 | 4  |                    2.00        1.29            |
 | 6  |                          1.70              1.41|
 | 8  |                                1.83            |
 | 10 |                                      1.92      |
 | 12 |                                            1.94|
 +-----------------------------------------------------+
