             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.00  1.50  1.00  1.00  1.00  1.01  1.01            |
 | 2  |        1.50        1.00              1.01            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.01            |
 | 5  |                          1.00                        |
 | 6  |                                1.00              1.00|
 | 8  |                                      1.02            |
 | 10 |                                            1.01      |
 | 12 |                                                  1.12|
 +-----------------------------------------------------------+
