             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.00  3.00  3.00  3.00  3.00  3.00  3.00            |
 | 2  |        1.50        1.50              1.50            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.01            |
 | 5  |                          1.00                        |
 | 6  |                                1.00              1.10|
 | 8  |                                      1.00            |
 | 10 |                                            1.00      |
 | 12 |                                                  1.00|
 +-----------------------------------------------------------+
