             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  3.00        3.00        3.00            |
 | 2  |        2.50        2.26        2.34            |
 | 3  |              2.84                              |
 | 4  |                    2.95        2.58            |
 | 6  |                          3.05              1.17|
 | 8  |                                2.97            |
 | 10 |                                      1.90      |
 | 12 |                                            1.72|
 +-----------------------------------------------------+
