             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  5.00  5.00  5.00  5.00  5.00  5.00  5.00            |
 | 2  |        2.69        2.69              2.69            |
 | 3  |              1.80                                    |
 | 4  |                    1.34              1.36            |
 | 5  |                          1.08                        |
 | 6  |                                1.09              1.08|
 | 8  |                                      1.10            |
 | 10 |                                            1.09      |
 | 12 |                                                  1.09|
 +-----------------------------------------------------------+
