             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  9.33  6.26        5.13        4.54            |
 | 2  |        6.94        5.81        5.60            |
 | 3  |              6.47                              |
 | 4  |                    5.72        5.24            |
 | 6  |                          5.37              5.56|
 | 8  |                                5.19            |
 | 10 |                                      5.07      |
 | 12 |                                            4.99|
 +-----------------------------------------------------+
