             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  5.00  5.00  5.00  5.00  5.00  5.00  5.00            |
 | 2  |        2.50        2.50              2.50            |
 | 3  |              1.67                                    |
 | 4  |                    1.25              1.26            |
 | 5  |                          1.00                        |
 | 6  |                                1.01              1.02|
 | 8  |                                      1.02            |
 | 10 |                                            1.00      |
 | 12 |                                                  1.01|
 +-----------------------------------------------------------+
