             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  4.00  4.00  4.00  4.00  4.00  4.00  4.00            |
 | 2  |        2.00        2.00              2.00            |
 | 3  |              1.33                                    |
 | 4  |                    1.00              1.02            |
 | 5  |                          1.00                        |
 | 6  |                                1.00              1.11|
 | 8  |                                      1.02            |
 | 10 |                                            1.01      |
 | 12 |                                                  1.01|
 +-----------------------------------------------------------+
