             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.00  3.00  3.00  3.00  3.00  3.00  3.00            |
 | 2  |        2.50        2.25              2.24            |
 | 3  |              2.82                                    |
 | 4  |                    2.98              2.61            |
 | 5  |                          3.04                        |
 | 6  |                                3.09              1.38|
 | 8  |                                      3.01            |
 | 10 |                                            1.87      |
 | 12 |                                                  1.78|
 +-----------------------------------------------------------+
