             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 12.00  8.50        8.50        8.50            |
 | 2  |        7.02        6.07        6.02            |
 | 3  |              6.05                              |
 | 4  |                    5.34        4.78            |
 | 6  |                          4.74              4.94|
 | 8  |                                4.58            |
 | 10 |                                      4.43      |
 | 12 |                                            4.37|
 +-----------------------------------------------------+
